opportunity_id,lead_id,pipeline_stage,deal_value_usd,probability_percent,aging_days,expected_close_date,assigned_rep,lost_reason
O00033,L01917,Proposal Shared,36438,44.0,49,2026-06-25,Amit Patel,
O00034,L02306,Negotiation,22918,37.0,45,2025-12-28,Karan Desai,
O00035,L04529,Won,452992,100.0,49,2026-03-13,Neha Joshi,
O00036,L00069,Proposal Submitted,109661,28.0,82,2026-08-03,Karan Desai,
O00037,L03839,Proposal Sent,108227,61.0,78,2026-07-04,Amit Patel,
O00038,L01096,Technical Consultation,53385,54.0,21,2025-11-26,Rahul Mehta,
O00039,L00185,Closed Won,353636,100.0,67,2026-01-26,Priya Shah,
O00040,L03610,Negotiation,143957,38.0,42,2025-12-08,Neha Joshi,
O00041,L04358,Negotiation,38142,56.0,44,2026-06-09,Rahul Mehta,
O00042,L02050,Closed Won,384828,100.0,1,2026-08-20,Karan Desai,
O00043,L02841,Proposal Submitted,13046,,31,2026-04-01,Karan Desai,
O00044,L04244,Lost,263863,0.0,18,2026-02-26,Karan Desai,No Decision
O00045,L02270,Proposal Shared,11940,35.0,51,2026-04-02,Karan Desai,
O00046,L02698,Lost,22185,0.0,56,2026-07-15,Rahul Mehta,Budget Constraints
O00047,L04389,Tech Call,11726,30.0,1,2026-02-04,Karan Desai,
O00048,L02469,Negotiation,31843,46.0,34,2026-01-13,Karan Desai,
O00049,L00444,Discovery Call,471623,39.0,57,2026-03-08,Amit Patel,
O00050,L01449,Won,11711,100.0,31,2026-01-10,Amit Patel,
O00051,L01083,Lost,34296,0.0,49,2025-12-02,Rahul Mehta,Competitor Chosen
O00052,L01324,Closed Won,28792,100.0,42,2026-05-24,Karan Desai,
O00053,L03634,Technical Consultation,341992,28.0,41,2026-01-29,Rahul Mehta,
O00054,L03961,Proposal Submitted,367339,61.0,29,2026-08-26,Karan Desai,
O00055,L03104,Negotiation,24616,41.0,10,2026-05-20,Amit Patel,
O00056,L00048,Discovery Call,79303,41.0,12,2025-12-15,Amit Patel,
O00057,L01062,Closed Lost,429197,0.0,49,2026-05-05,Karan Desai,
O00058,L00785,Closed Lost,224574,0.0,35,2025-11-11,Amit Patel,Delayed Initiative
O00059,L04539,Negotiation,433837,56.0,32,2026-04-16,Neha Joshi,
O00060,L00446,Won,23911,100.0,26,2026-04-04,Karan Desai,
O00061,L03470,Closed Lost,392506,0.0,28,2026-05-26,Rahul Mehta,Competitor Chosen
O00062,L03554,Solution Discussion,10210,41.0,55,2026-02-13,Karan Desai,
O00063,L03973,Closed Won,488181,100.0,28,2026-01-22,Rahul Mehta,
O00064,L01037,Discovery Call,27303,,8,2026-05-19,Karan Desai,
O00065,L02751,Lost,33872,0.0,49,2025-11-27,Priya Shah,Competitor Chosen
O00066,L04951,Lost,46818,0.0,30,2026-02-13,Rahul Mehta,Competitor Chosen
O00067,L03676,Closed Lost,107404,0.0,35,2026-09-05,Karan Desai,Delayed Initiative
O00068,L04839,Solution Discussion,61087,31.0,67,2026-05-23,Neha Joshi,
O00069,L01573,Proposal Sent,61297,39.0,34,2026-06-12,Neha Joshi,
O00070,L02325,Won,70164,100.0,40,2026-04-29,Amit Patel,
O00071,L02085,Lost,56358,0.0,11,2025-11-20,Karan Desai,Budget Constraints
O00072,L02221,Inbound Lead,35137,53.0,30,2026-08-16,Karan Desai,
O00073,L02875,Technical Consultation,124050,41.0,47,2026-07-01,Priya Shah,
O00074,L01007,Closed Lost,152929,0.0,3,2025-12-13,Karan Desai,No Decision
O00075,L04824,Closed Lost,18617,0.0,39,2026-01-23,Priya Shah,Competitor Chosen
O00076,L00314,Discovery Call,110902,67.0,37,2026-05-16,Priya Shah,
O00077,L03323,Closed Won,103694,100.0,35,2026-08-23,Priya Shah,
O00078,L03605,Tech Call,19143,77.0,55,2026-08-14,Rahul Mehta,
O00079,L04005,Discovery Call,381537,31.0,41,2025-12-06,Amit Patel,
O00080,L02435,Negotiation,121142,64.0,64,2026-07-19,Karan Desai,
O00081,L01178,Discovery Call,111976,37.0,15,2026-05-09,Karan Desai,
O00082,L00536,Won,355533,100.0,37,2026-02-02,Rahul Mehta,
O00083,L00064,Won,49724,100.0,36,2025-12-21,Priya Shah,
O00084,L04561,Won,23896,100.0,13,2026-02-11,Priya Shah,
O00085,L01576,Proposal Submitted,326913,53.0,54,2026-02-23,Rahul Mehta,
O00086,L00122,Technical Consultation,17434,65.0,81,2025-11-23,Amit Patel,
O00087,L03407,Closed Won,10562,100.0,34,2026-01-09,Rahul Mehta,
O00088,L01709,Proposal Shared,109108,45.0,45,2026-09-03,Rahul Mehta,
O00089,L02267,Proposal Sent,115697,41.0,36,2026-02-20,Amit Patel,
O00090,L02419,Closed Lost,125200,0.0,20,2025-12-15,Karan Desai,
O00091,L01638,Proposal Submitted,453309,43.0,1,2026-02-24,Amit Patel,
O00092,L04014,Won,28347,100.0,20,2026-03-24,Karan Desai,
O00093,L00843,Negotiation,341778,,7,2026-08-14,Rahul Mehta,
O00094,L00159,Closed Won,425972,,69,2026-05-08,Karan Desai,
O00095,L04251,Lost,40470,0.0,32,2026-07-16,Rahul Mehta,
O00096,L02099,Lost,235350,0.0,28,2026-06-05,Amit Patel,Delayed Initiative
O00097,L01369,Won,39413,100.0,52,2026-04-06,Neha Joshi,
O00098,L02718,Discovery Call,203019,69.0,12,2026-07-05,Neha Joshi,
O00099,L03641,Closed Won,24703,100.0,19,2025-12-22,Rahul Mehta,
O00100,L02834,Proposal Submitted,488155,26.0,36,2026-07-16,Amit Patel,
O00101,L02209,Discovery Call,41865,31.0,55,2026-06-15,Neha Joshi,
O00102,L01518,Closed Won,89463,100.0,45,2026-04-06,Rahul Mehta,
O00103,L01877,Negotiation,69099,69.0,39,2025-12-06,Karan Desai,
O00104,L03770,Closed Won,35485,100.0,36,2026-06-05,Priya Shah,
O00105,L01953,Lost,48047,0.0,43,2026-04-09,Karan Desai,No Decision
O00106,L02766,Lost,35805,0.0,39,2026-02-02,Karan Desai,No Decision
O00107,L01727,Inbound Lead,51184,26.0,14,2026-03-03,Karan Desai,
O00108,L02115,Discovery Call,37836,66.0,35,2026-03-07,Priya Shah,
O00109,L04633,Technical Consultation,27949,30.0,13,2026-04-02,Rahul Mehta,
O00110,L03738,Inbound Lead,70901,59.0,36,2026-04-27,Karan Desai,
O00111,L01029,Proposal Sent,100253,64.0,25,2026-08-21,Neha Joshi,
O00112,L02552,Closed Won,35087,100.0,85,2026-01-09,Rahul Mehta,
O00113,L04273,Negotiation,36636,30.0,34,2026-07-13,Amit Patel,
O00114,L03436,Closed Lost,44415,0.0,6,2026-02-10,Priya Shah,Budget Constraints
O00115,L04262,Lost,132350,0.0,32,2026-08-06,Neha Joshi,
O00116,L04176,Discovery Call,40248,44.0,45,2026-03-06,Amit Patel,
O00117,L01588,Won,165106,100.0,68,2026-05-08,Rahul Mehta,
O00118,L01359,Tech Call,365434,52.0,23,2026-08-26,Priya Shah,
O00119,L01322,Won,42153,100.0,3,2026-04-02,Rahul Mehta,
O00120,L02724,Closed Lost,49613,0.0,51,2026-05-31,Neha Joshi,No Decision
O00121,L01812,Lost,361235,0.0,7,2026-02-16,Karan Desai,Delayed Initiative
O00122,L02758,Inbound Lead,69598,,26,2026-08-14,Karan Desai,
O00123,L00216,Proposal Submitted,337969,58.0,29,2026-08-31,Amit Patel,
O00124,L01510,Discovery Call,62421,39.0,33,2026-01-10,Rahul Mehta,
O00125,L01491,Negotiation,20233,36.0,48,2026-05-09,Priya Shah,
O00126,L03665,Proposal Shared,107992,,21,2026-08-11,Rahul Mehta,
O00127,L03654,Closed Won,29485,100.0,29,2026-01-01,Rahul Mehta,
O00128,L02143,Won,34589,100.0,34,2026-08-14,Amit Patel,
O00129,L03241,Proposal Shared,144262,35.0,37,2026-06-03,Amit Patel,
O00130,L04745,Lost,10669,0.0,36,2026-04-04,Priya Shah,Delayed Initiative
O00131,L00061,Closed Won,87211,100.0,43,2026-02-10,Priya Shah,
O00132,L01577,Negotiation,42306,44.0,51,2026-04-28,Rahul Mehta,
O00133,L01885,Tech Call,113266,75.0,42,2026-06-23,Priya Shah,
O00134,L04243,Solution Discussion,42215,33.0,44,2025-12-01,Rahul Mehta,
O00135,L02088,Negotiation,296584,62.0,3,2026-07-30,Rahul Mehta,
O00136,L04032,Won,447397,100.0,36,2026-08-25,Amit Patel,
O00137,L04973,Closed Won,90846,100.0,44,2026-05-13,Rahul Mehta,
O00138,L01800,Won,61830,100.0,49,2026-01-22,Rahul Mehta,
O00139,L03907,Proposal Shared,92417,57.0,21,2026-04-20,Amit Patel,
O00140,L00078,Negotiation,70934,29.0,21,2026-06-01,Rahul Mehta,
O00141,L02782,Proposal Sent,430738,51.0,23,2026-08-22,Rahul Mehta,
O00142,L04325,Discovery Call,11678,47.0,45,2026-05-20,Amit Patel,
O00143,L04048,Negotiation,105192,74.0,55,2026-07-20,Amit Patel,
O00144,L04023,Discovery Call,229144,40.0,26,2026-08-12,Amit Patel,
O00145,L02745,Discovery Call,277986,27.0,53,2026-02-09,Neha Joshi,
O00146,L01151,Won,35370,100.0,37,2026-06-11,Karan Desai,
O00147,L01333,Solution Discussion,14447,44.0,32,2026-05-27,Amit Patel,
O00148,L01495,Won,142785,100.0,30,2026-05-23,Amit Patel,
O00149,L00676,Closed Won,55125,100.0,49,2026-02-09,Amit Patel,
O00150,L01313,Closed Won,134230,100.0,41,2026-06-27,Priya Shah,
O00151,L00370,Negotiation,70497,73.0,80,2026-06-13,Amit Patel,
O00152,L00275,Closed Lost,478206,0.0,17,2026-04-21,Rahul Mehta,No Decision
O00153,L02502,Closed Won,64514,100.0,45,2026-07-19,Rahul Mehta,
O00154,L00101,Proposal Submitted,432571,31.0,24,2026-01-31,Karan Desai,
O00155,L01232,Technical Consultation,415232,50.0,17,2025-11-23,Amit Patel,
O00156,L01760,Closed Lost,122342,0.0,34,2026-01-11,Karan Desai,
O00157,L02304,Won,147042,100.0,37,2026-06-05,Amit Patel,
O00158,L01089,Tech Call,149855,78.0,93,2026-05-28,Rahul Mehta,
O00159,L00387,Solution Discussion,28479,78.0,31,2026-02-17,Priya Shah,
O00160,L01538,Proposal Sent,147933,85.0,12,2026-05-19,Amit Patel,
O00161,L01853,Closed Lost,93134,0.0,40,2026-05-04,Rahul Mehta,Delayed Initiative
O00162,L04465,Lost,138049,0.0,1,2026-03-16,Amit Patel,Delayed Initiative
O00163,L03921,Proposal Submitted,14989,68.0,33,2026-04-19,Amit Patel,
O00164,L04894,Proposal Shared,148172,,35,2026-03-28,Amit Patel,
O00165,L04531,Solution Discussion,389280,25.0,50,2026-03-20,Karan Desai,
O00166,L02472,Won,208629,100.0,54,2026-05-29,Neha Joshi,
O00167,L03056,Won,35904,100.0,24,2026-01-21,Karan Desai,
O00168,L01722,Proposal Sent,455150,94.0,31,2026-02-01,Karan Desai,
O00169,L02941,Solution Discussion,123667,39.0,19,2025-11-15,Neha Joshi,
O00170,L00270,Inbound Lead,85865,48.0,12,2026-04-28,Neha Joshi,
O00171,L04941,Negotiation,39785,46.0,41,2025-11-14,Karan Desai,
O00172,L01027,Won,119391,100.0,9,2026-01-23,Amit Patel,
O00173,L00795,Negotiation,71120,38.0,26,2026-05-22,Priya Shah,
O00174,L02572,Discovery Call,258078,88.0,15,2026-05-06,Neha Joshi,
O00175,L03370,Proposal Submitted,98035,43.0,45,2026-04-29,Amit Patel,
O00176,L01966,Proposal Submitted,138374,39.0,71,2026-01-01,Priya Shah,
O00177,L04449,Negotiation,133730,82.0,8,2026-03-10,Karan Desai,
O00178,L01625,Won,78593,100.0,1,2025-12-30,Priya Shah,
O00179,L03301,Technical Consultation,48556,52.0,32,2026-06-06,Neha Joshi,
O00180,L03094,Negotiation,388518,69.0,35,2026-08-17,Priya Shah,
O00181,L03404,Closed Lost,21475,0.0,39,2025-11-19,Priya Shah,
O00182,L04636,Proposal Submitted,89922,92.0,26,2026-05-28,Rahul Mehta,
O00183,L02293,Closed Won,397844,100.0,30,2026-03-24,Rahul Mehta,
O00184,L01547,Tech Call,371245,30.0,42,2026-08-01,Amit Patel,
O00185,L03335,Won,232670,100.0,55,2025-12-09,Neha Joshi,
O00186,L02776,Won,88361,100.0,1,2026-01-21,Rahul Mehta,
O00187,L04160,Proposal Shared,55527,30.0,27,2026-08-27,Priya Shah,
O00188,L03075,Proposal Shared,45956,27.0,39,2026-08-07,Rahul Mehta,
O00189,L02492,Proposal Submitted,102438,64.0,16,2026-06-10,Priya Shah,
O00190,L00581,Technical Consultation,52416,71.0,69,2026-05-17,Neha Joshi,
O00191,L04727,Lost,134109,0.0,22,2026-04-19,Karan Desai,Budget Constraints
O00192,L03930,Discovery Call,23820,32.0,34,2026-08-19,Neha Joshi,
O00193,L04441,Won,21336,100.0,46,2025-12-21,Priya Shah,
O00194,L02631,Proposal Submitted,164431,70.0,23,2026-05-14,Karan Desai,
O00195,L00936,Negotiation,35414,52.0,1,2026-03-14,Amit Patel,
O00196,L01802,Discovery Call,329812,39.0,26,2026-04-03,Neha Joshi,
O00197,L02537,Proposal Sent,49575,66.0,55,2026-08-28,Rahul Mehta,
O00198,L02407,Proposal Submitted,79445,69.0,28,2026-03-30,Amit Patel,
O00199,L02583,Closed Won,12524,,18,2026-06-19,Neha Joshi,
O00200,L02628,Discovery Call,53210,75.0,53,2025-11-26,Karan Desai,
O00201,L02029,Solution Discussion,427697,29.0,28,2026-08-06,Priya Shah,
O00202,L04949,Proposal Submitted,286351,53.0,24,2026-08-04,Rahul Mehta,
O00203,L03194,Lost,47120,0.0,37,2026-07-19,Neha Joshi,Budget Constraints
O00204,L04080,Won,99364,100.0,50,2025-11-27,Karan Desai,
O00205,L04075,Negotiation,15738,62.0,82,2025-12-29,Karan Desai,
O00206,L01556,Negotiation,138565,49.0,51,2026-01-16,Rahul Mehta,
O00207,L04028,Closed Won,328087,,58,2026-04-06,Amit Patel,
O00208,L04802,Negotiation,399551,27.0,24,2026-03-05,Karan Desai,
O00209,L04764,Proposal Shared,267637,59.0,14,2026-04-26,Karan Desai,
O00210,L02553,Closed Won,478565,100.0,36,2026-05-25,Karan Desai,
O00211,L01280,Closed Lost,49385,0.0,37,2026-08-31,Rahul Mehta,Budget Constraints
O00212,L04437,Discovery Call,48385,90.0,13,2026-07-18,Priya Shah,
O00213,L01713,Discovery Call,96016,39.0,31,2026-07-10,Priya Shah,
O00214,L00727,Technical Consultation,325818,26.0,42,2026-04-11,Neha Joshi,
O00215,L04125,Lost,200298,0.0,42,2026-01-17,Neha Joshi,
O00216,L04454,Closed Lost,288721,0.0,45,2025-11-15,Priya Shah,No Decision
O00217,L04304,Tech Call,143984,30.0,40,2026-05-27,Amit Patel,
O00218,L03227,Negotiation,177619,56.0,24,2026-08-11,Amit Patel,
O00219,L00892,Won,184532,100.0,24,2026-06-09,Karan Desai,
O00220,L03257,Negotiation,32115,19.0,11,2026-08-28,Karan Desai,
O00221,L03431,Closed Won,72342,100.0,70,2026-03-13,Amit Patel,
O00222,L03278,Closed Won,179073,,35,2026-06-01,Karan Desai,
O00223,L01881,Proposal Sent,50275,32.0,30,2026-05-06,Rahul Mehta,
O00224,L01998,Solution Discussion,30114,41.0,16,2026-09-06,Rahul Mehta,
O00225,L02453,Discovery Call,57756,21.0,93,2026-01-10,Priya Shah,
O00226,L01514,Proposal Shared,112675,71.0,13,2026-01-10,Rahul Mehta,
O00227,L04196,Proposal Submitted,47700,69.0,26,2026-03-12,Priya Shah,
O00228,L00285,Proposal Submitted,45262,71.0,43,2026-06-09,Rahul Mehta,
O00229,L00670,Closed Lost,244933,0.0,47,2026-06-14,Karan Desai,Delayed Initiative
O00230,L00798,Proposal Sent,41132,34.0,54,2026-04-16,Amit Patel,
O00231,L02779,Technical Consultation,20854,26.0,71,2026-05-21,Rahul Mehta,
O00232,L02127,Inbound Lead,22231,44.0,45,2026-08-31,Priya Shah,
O00233,L00921,Negotiation,83450,40.0,13,2026-06-24,Priya Shah,
O00234,L03106,Closed Won,25058,100.0,29,2026-02-06,Karan Desai,
O00235,L04184,Proposal Submitted,45452,58.0,41,2026-02-03,Karan Desai,
O00236,L01411,Proposal Shared,12676,57.0,76,2026-03-03,Neha Joshi,
O00237,L02420,Proposal Shared,157365,55.0,7,2026-01-23,Amit Patel,
O00238,L03805,Won,70614,,59,2025-12-27,Amit Patel,
O00239,L03739,Lost,278901,0.0,38,2025-11-26,Neha Joshi,
O00240,L00047,Proposal Sent,214245,54.0,51,2026-07-14,Neha Joshi,
O00241,L02919,Solution Discussion,213673,47.0,32,2026-03-18,Priya Shah,
O00242,L02123,Closed Lost,23446,0.0,18,2026-08-13,Priya Shah,
O00243,L04702,Won,154874,100.0,50,2026-02-09,Rahul Mehta,
O00244,L00933,Negotiation,150731,67.0,48,2026-09-02,Rahul Mehta,
O00245,L00579,Negotiation,465526,75.0,54,2025-12-05,Rahul Mehta,
O00246,L02136,Won,358087,100.0,34,2026-07-20,Priya Shah,
O00247,L00259,Proposal Shared,82884,56.0,23,2025-11-21,Priya Shah,
O00248,L03512,Closed Lost,39487,0.0,3,2026-08-19,Priya Shah,No Decision
O00249,L03042,Proposal Shared,17338,75.0,51,2026-06-25,Karan Desai,
O00250,L02215,Discovery Call,370938,74.0,43,2026-03-08,Karan Desai,
O00251,L04858,Discovery Call,138850,43.0,15,2026-02-27,Karan Desai,
O00252,L03251,Closed Won,56181,100.0,24,2026-05-31,Neha Joshi,
O00253,L02895,Negotiation,28913,,25,2026-08-30,Karan Desai,
O00254,L00784,Won,14273,100.0,5,2026-07-02,Rahul Mehta,
O00255,L01487,Won,91955,100.0,18,2026-04-17,Amit Patel,
O00256,L03474,Closed Lost,78574,0.0,12,2026-05-09,Karan Desai,Delayed Initiative
O00257,L03953,Closed Lost,44671,0.0,26,2026-05-04,Rahul Mehta,
O00258,L02241,Negotiation,322711,63.0,20,2026-02-17,Karan Desai,
O00259,L00144,Won,17435,100.0,2,2026-01-16,Priya Shah,
O00260,L03753,Lost,27590,0.0,75,2026-04-11,Neha Joshi,
O00261,L02921,Tech Call,104844,27.0,60,2026-04-05,Rahul Mehta,
O00262,L01849,Tech Call,41035,44.0,19,2026-06-30,Rahul Mehta,
O00263,L02855,Negotiation,418861,68.0,40,2026-07-03,Priya Shah,
O00264,L00831,Proposal Shared,144942,45.0,43,2026-07-22,Rahul Mehta,
O00265,L01641,Lost,235106,,58,2026-03-09,Rahul Mehta,Competitor Chosen
O00266,L04207,Lost,128352,0.0,18,2026-03-07,Amit Patel,No Decision
O00267,L02034,Inbound Lead,460172,44.0,56,2026-04-05,Neha Joshi,
O00268,L04755,Solution Discussion,22374,10.0,24,2026-06-09,Neha Joshi,
O00269,L02996,Closed Lost,489552,0.0,8,2026-01-08,Neha Joshi,Budget Constraints
O00270,L03386,Closed Won,168765,100.0,49,2026-06-18,Amit Patel,
O00271,L01346,Lost,39322,0.0,60,2026-06-22,Neha Joshi,Budget Constraints
O00272,L04631,Proposal Shared,14995,66.0,86,2026-02-18,Rahul Mehta,
O00273,L01771,Solution Discussion,38258,69.0,11,2026-03-02,Rahul Mehta,
O00274,L01811,Proposal Submitted,189490,,48,2026-06-13,Amit Patel,
O00275,L02474,Negotiation,25814,32.0,26,2026-02-19,Neha Joshi,
O00276,L02665,Negotiation,29220,36.0,50,2026-05-02,Priya Shah,
O00277,L03457,Negotiation,79302,51.0,5,2026-03-31,Karan Desai,
O00278,L02710,Closed Lost,22043,0.0,9,2026-05-08,Priya Shah,Delayed Initiative
O00279,L00890,Negotiation,16921,59.0,19,2025-11-30,Priya Shah,
O00280,L02742,Solution Discussion,31137,54.0,36,2025-11-28,Neha Joshi,
O00281,L04960,Inbound Lead,477775,86.0,22,2026-03-25,Amit Patel,
O00282,L01258,Won,19213,100.0,48,2026-02-09,Karan Desai,
O00283,L01269,Negotiation,117534,71.0,55,2026-03-11,Karan Desai,
O00284,L01751,Solution Discussion,320316,34.0,46,2026-04-10,Rahul Mehta,
O00285,L00432,Technical Consultation,41250,,67,2025-12-26,Amit Patel,
O00286,L04776,Won,349829,100.0,43,2026-04-25,Neha Joshi,
O00287,L03990,Tech Call,279735,66.0,10,2026-04-12,Karan Desai,
O00288,L03286,Closed Lost,196744,,62,2026-06-29,Priya Shah,Budget Constraints
O00289,L00298,Discovery Call,48513,56.0,22,2026-04-13,Karan Desai,
O00290,L02803,Negotiation,62808,47.0,53,2026-02-14,Amit Patel,
O00291,L04650,Proposal Shared,39529,65.0,66,2026-08-12,Rahul Mehta,
O00292,L03498,Won,22788,100.0,44,2026-08-10,Karan Desai,
O00293,L03666,Lost,147268,0.0,5,2026-07-11,Priya Shah,Competitor Chosen
O00294,L03345,Won,40028,100.0,16,2025-12-31,Amit Patel,
O00295,L02983,Proposal Submitted,197830,34.0,61,2025-11-30,Amit Patel,
O00296,L03546,Negotiation,46364,19.0,31,2026-08-05,Amit Patel,
O00297,L00687,Won,57434,100.0,36,2026-05-12,Rahul Mehta,
O00298,L01375,Won,51020,100.0,50,2026-06-27,Neha Joshi,
O00299,L02238,Tech Call,348093,69.0,48,2026-05-06,Neha Joshi,
O00300,L04625,Won,33629,100.0,40,2026-03-20,Priya Shah,
O00301,L04491,Inbound Lead,243713,26.0,30,2026-01-18,Karan Desai,
O00302,L01790,Inbound Lead,53358,35.0,28,2026-05-02,Rahul Mehta,
O00303,L01886,Closed Won,227485,100.0,52,2026-03-11,Rahul Mehta,
O00304,L02446,Closed Won,89394,100.0,46,2025-12-15,Rahul Mehta,
O00305,L02116,Negotiation,464006,66.0,29,2026-02-19,Rahul Mehta,
O00306,L00800,Proposal Submitted,41105,67.0,56,2026-07-15,Rahul Mehta,
O00307,L02559,Closed Lost,23626,0.0,32,2026-08-06,Priya Shah,Competitor Chosen
O00308,L03129,Proposal Shared,108279,61.0,17,2026-03-16,Rahul Mehta,
O00309,L03980,Lost,23688,0.0,19,2026-08-29,Karan Desai,Competitor Chosen
O00310,L03150,Won,94639,100.0,15,2026-01-20,Neha Joshi,
O00311,L01677,Tech Call,275780,25.0,29,2026-04-11,Neha Joshi,
O00312,L04172,Technical Consultation,304228,73.0,59,2026-02-19,Karan Desai,
O00313,L01227,Inbound Lead,307419,34.0,18,2026-01-01,Priya Shah,
O00314,L03045,Closed Won,350122,100.0,38,2026-08-12,Neha Joshi,
O00315,L01352,Proposal Submitted,41836,45.0,21,2026-07-04,Priya Shah,
O00316,L00827,Closed Lost,76486,0.0,29,2026-05-12,Rahul Mehta,No Decision
O00317,L02346,Proposal Submitted,496200,36.0,4,2026-08-21,Neha Joshi,
O00318,L01833,Negotiation,113261,25.0,30,2026-03-18,Rahul Mehta,
O00319,L03879,Negotiation,122453,95.0,31,2026-08-08,Karan Desai,
O00320,L01747,Proposal Sent,118923,19.0,45,2025-12-21,Karan Desai,
O00321,L04815,Tech Call,84319,31.0,39,2026-08-24,Priya Shah,
O00322,L01308,Closed Lost,48632,0.0,11,2025-11-12,Neha Joshi,
O00323,L00391,Solution Discussion,24740,31.0,56,2025-12-11,Amit Patel,
O00324,L04254,Tech Call,171593,65.0,39,2025-11-20,Amit Patel,
O00325,L01841,Won,53448,100.0,38,2026-06-02,Neha Joshi,
O00326,L00689,Negotiation,131294,52.0,34,2025-11-25,Karan Desai,
O00327,L00658,Solution Discussion,18145,48.0,24,2026-05-22,Neha Joshi,
O00328,L03202,Proposal Shared,55232,81.0,39,2026-02-09,Amit Patel,
O00329,L04217,Technical Consultation,192269,65.0,44,2025-11-25,Neha Joshi,
O00330,L03456,Solution Discussion,189011,27.0,1,2026-06-11,Karan Desai,
O00331,L03668,Discovery Call,121133,37.0,24,2026-02-15,Karan Desai,
O00332,L02163,Closed Lost,411864,0.0,29,2026-06-16,Neha Joshi,
O00333,L02160,Discovery Call,155692,39.0,40,2026-05-16,Neha Joshi,
O00334,L03671,Proposal Sent,136612,37.0,58,2026-01-02,Karan Desai,
O00335,L04295,Lost,463214,0.0,19,2025-12-28,Priya Shah,
O00336,L03579,Discovery Call,303831,,25,2026-04-04,Rahul Mehta,
O00337,L04307,Won,13569,100.0,24,2026-04-23,Priya Shah,
O00338,L03690,Proposal Submitted,128817,55.0,18,2026-04-21,Karan Desai,
O00339,L01634,Negotiation,26262,56.0,28,2026-09-02,Neha Joshi,
O00340,L01075,Proposal Submitted,10831,67.0,50,2026-04-14,Priya Shah,
O00341,L00027,Negotiation,20013,36.0,13,2026-03-10,Rahul Mehta,
O00342,L03748,Inbound Lead,17317,49.0,43,2026-05-05,Rahul Mehta,
O00343,L00519,Lost,13967,0.0,1,2026-06-28,Rahul Mehta,No Decision
O00344,L04720,Proposal Shared,478176,30.0,23,2026-04-29,Neha Joshi,
O00345,L00710,Lost,34700,0.0,28,2026-03-28,Priya Shah,Competitor Chosen
O00346,L00796,Technical Consultation,400335,60.0,68,2026-06-20,Priya Shah,
O00347,L03309,Negotiation,15689,28.0,29,2026-06-25,Rahul Mehta,
O00348,L02075,Tech Call,28057,45.0,1,2026-06-18,Neha Joshi,
O00349,L02057,Proposal Submitted,97070,33.0,1,2026-02-22,Karan Desai,
